"X","date","sal","do","ph","depth","w.temp","a.temp"
337,"5/17/1998",1.1,9.3,6.8,0.48,23.5,27.1
338,"6/7/1998",1.1,10,7.2,0.5,22.9,-17.77777778
339,"6/14/1998",0.9,9.7,6.8,0.65,26,26.6
340,"7/5/1998",1,8.4,6.9,0.65,26,27.8
341,"7/25/1998",0.9,8.6,7.3,0.65,29,27.4
342,"8/23/1998",1,11,8.8,0.62,28,29.5
343,"9/12/1998",0.9,10.8,8.5,0.66,25,30.61111111
344,"11/2/1998",1.1,10,6.9,0.35,14,14.6
345,"11/21/1998",1,10.9,7.3,0.48,15,14.2
346,"8/11/1999",3,2.6,7.7,0.6,26,27.2
348,"9/8/1999",1.8,1.35,8.2,1,28,24.77777778
349,"10/15/1999",0.1,5.65,7.3,0.8,20,-17.77777778
350,"11/10/1999",0,6.7,7.6,0.95,18,-17.77777778
352,"12/30/1999",1,7.8,6.9,0.85,8,6
353,"8/11/1999",2.5,3.1,8.1,0.25,27,27.2
355,"9/8/1999",0.9,3.6,8.2,0.3,32,-17.77777778
356,"10/15/1999",1,4.7,7,0.3,17,-17.77777778
358,"11/10/1999",1,6.3,7.4,0.4,16,-17.77777778
360,"12/30/1999",0.2,6.1,6.9,0.25,7,5
361,"8/11/1999",3,1.9,8.5,0.5,27,29
363,"9/8/1999",1,2.4,8,5.8,34,-17.77777778
364,"9/22/1999",1,3.7,7.8,0.8,18,15.55555556
365,"10/15/1999",0.1,5.5,6.6,0.55,19,-17.77777778
366,"10/27/1999",0,3.7,7.7,0.55,43,22.22222222
367,"11/10/1999",0.2,10,7.8,0.6,17,-17.77777778
369,"12/30/1999",0.1,7.3,6.9,0.7,5,5
370,"8/11/1999",0.2,2.5,8.6,1.25,27,29.7
372,"9/8/1999",0,1.5,7.4,1.85,34.5,-17.77777778
373,"9/22/1999",0,1.9,7.6,1.65,18,-17.77777778
374,"10/15/1999",0,3.25,7.3,1.55,17,-17.77777778
375,"10/27/1999",0.4,3.4,7.4,1.35,42.5,22.22222222
376,"11/10/1999",0,6.5,8,1.5,15,15.55555556
378,"12/16/1999",0,7.8,8.9,1.4,11,9.444444444
379,"12/30/1999",0,8.25,8,1.4,5,5
380,"1/9/1999",1.2,11.2,7.2,0.5,9,14.9
381,"1/23/1999",1.1,11.2,6.7,0.6,15,-17.77777778
382,"8/5/1999",1.8,1.8,9.5,0.35,27,-17.77777778
383,"8/11/1999",3,7,9.2,0.65,28,30.3
